#{"t_start": 1711607050.050625, "env_id": "None"}
r,l,t
325.221019,867,218.805744
315.865261,688,219.146428
464.516391,756,219.480251
309.561497,612,219.759612
294.514022,682,220.054085
291.463499,844,220.458164
316.694433,822,220.835765
301.733583,790,223.021474
347.962829,750,223.354167
326.608275,871,223.772782
342.051783,887,224.198082
312.050356,769,224.546825
357.07376,705,224.853975
291.182285,779,225.207529
290.418965,742,225.604007
309.517235,800,225.969618
277.497681,801,226.338989
318.850369,814,228.490221
363.532478,770,228.854195
303.891971,766,229.204194
352.763263,651,229.522629
402.496796,748,229.853856
290.419761,810,230.220515
349.492208,847,230.62052
391.960418,818,231.005332
235.772831,684,231.380527
361.199193,806,231.746232
281.361489,651,232.079362
209.979575,713,234.154377
336.289436,905,234.570472
260.254458,625,234.853802
375.150265,884,235.254083
368.033942,821,235.642081
301.716708,758,235.995535
224.273377,664,236.295052
256.220241,712,236.630078
383.160063,807,237.020466
299.294956,802,237.414106
410.565577,1114,239.643502
322.28571,968,240.114232
294.397642,1054,240.586983
279.712133,658,240.903793
287.78634,1090,241.403983
383.717967,895,241.829314
351.325295,932,242.247205
397.203012,551,242.52038
208.825792,426,242.720303
208.167874,527,242.953639
312.101348,787,243.32038
340.051774,940,245.603787
356.60024,953,246.030234
342.610732,840,246.40367
245.070127,914,246.853556
298.795488,914,247.267869
306.370375,793,247.620211
334.316923,1130,248.129278
325.924931,784,248.483862
350.009974,906,248.903561
241.81727,707,250.987115
312.508539,801,251.353518
379.855431,821,251.760879
339.981771,941,252.180176
304.658583,814,252.54749
349.716584,837,252.970059
263.621123,809,253.324115
264.193904,644,253.635763
356.235708,831,254.053407
395.380844,938,254.470073
310.662483,834,256.620276
312.48209,755,256.998498
358.380194,921,257.403329
288.878488,819,257.786744
258.069117,688,258.120041
350.749855,838,258.503366
313.279683,758,258.86342
283.111455,694,259.186609
339.230184,854,259.587168
232.453074,731,259.913552
237.205031,774,262.099093
267.309568,771,262.439678
324.169282,790,262.802305
312.106404,687,263.140595
318.491024,845,263.578555
